age;min.Rost;max.Rost;min.Ves;max.Ves;min.R50;max.R50;min.X50;max.X50;min.IMT;max.IMT;min.Phi_calc;max.Phi_calc;min.FM;max.FM;min.FM_per;max.FM_per
3.00;;;;;;;;;;;;;;;;
4.00;;;;;;;;;;;;;;;;
5.00;73.38;149.85;11.85;49.72;460.70;1058.32;20.00;150.00;10.00;30;3.00;8.79;0.50;30.00;0.00;55.00
6.00;76.70;152.94;12.72;56.98;449.73;1059.90;20.00;150.00;10.14;35;3.00;8.87;0.50;32.00;0.00;55.00
7.00;83.03;159.47;14.40;73.87;428.03;1063.53;20.00;150.00;10.29;41.3;3.00;09.4;0.50;37.87;0.00;55.00
8.00;87.76;164.98;15.77;89.65;410.64;1065.92;20.00;150.00;10.43;43.9;3.00;9.19;0.50;44.85;0.00;55.00
9.00;92.89;171.55;17.46;109.06;390.47;1065.90;20.00;150.00;10.57;46.3;3.00;9.36;0.50;53.11;0.00;55.00
10.00;97.19;177.34;19.11;120.00;373.02;1061.29;20.00;150.00;10.71;47.7;3.00;9.51;0.50;59.29;0.00;55.00
11.00;102.41;184.25;21.40;130.00;352.48;1048.64;20.00;150.00;10.86;50;3.00;9.71;0.50;64.64;0.00;55.00
12.00;107.15;190.03;23.73;140.00;335.42;1031.13;20.00;150.00;11.00;51;3.00;9.91;0.50;67.26;0.00;55.00
13.00;112.97;196.21;26.83;150.00;317.36;1005.20;20.00;150.00;11.14;53;3.00;10.17;0.50;68.53;0.00;55.00
14.00;118.05;200.66;29.69;150.00;304.57;1000;20.00;150.00;11.29;54;3.00;10.20;0.50;69.00;0.00;55.00
15.00;123.80;204.69;33.09;150.00;293.01;1000;20.00;150.00;11.43;55;3.00;10.20;0.50;72;0.00;55.00
16.00;128.24;207.02;35;150.00;280.00;1000;20.00;150.00;11.57;55;3.00;10.20;0.50;73;0.00;55.00
17.00;130;208.60;35;150.00;270.00;1000;20.00;150.00;11.71;55;3.00;10.20;0.50;74;0.00;55.00
18.00;130;209.18;35;150.00;260.00;1000;20.00;150.00;11.86;55;3.00;10.20;0.50;75;0.00;55.00
19.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
20.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
21.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
22.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
23.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
24.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
25.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
26.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
27.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
28.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
29.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
30.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
31.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
32.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
33.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
34.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
35.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
36.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
37.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
38.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
39.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
40.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
41.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
42.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
43.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
44.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
45.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
46.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
47.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
48.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
49.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
50.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
51.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
52.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
